,ID,Title,Área industrial,Nombre empresa,Logotipo,Descripción empresa,Descripción corta empresa,Sector,Actividad,Dirección,Nave,Código Postal,Página web,Email,Teléfono,CIF,CNAE,Enlace Street View,Taxonomía,empresa_mostrar_mapa_lat,empresa_mostrar_mapa_lng
,,Dirección General de Montes y Conservación de la Naturaleza,PCTCAN,Dirección General de Montes y Conservación de la Naturaleza,,,,Rural,Dirección General,C/ Albert Einstein,"2, 5ª Planta",39011,,dgmedionatural@cantabria.es,942207593,,"Planfificación y gestión de espacios naturales protegidos, fomento del medio natural y lucha contra el cambio climático",,,,
,,"Dirección General de Innovación, Desarrollo Tecnológico y Emprendimiento",PCTCAN,"Dirección General de Innovación, Desarrollo Tecnológico y Emprendimiento",,,,Informática,Dirección General,C/ Albert Einstein,"2, 4ª Planta",39011,,dgiem@cantabria.es,942200033,,"Fomentar la cultura de la innovación en toda la sociedad Cántabra, en especial en el entorno empresarial y científco",,,,
,,"Consejería de Innovación, Industria, Turismo y Comercio",PCTCAN,"Consejería de Innovación, Industria, Turismo y Comercio",,,,Turismo,Dirección General,C/ Albert Einstein,"2, 5ª Planta",39011,,cindustria@cantabria.es.,942208470,,Habiltación de empresas de servicios en materia de seguridad industrial,,,,
,,Dirección General de Comercio y Consumo,PCTCAN,Dirección General de Comercio y Consumo,,,,Consumo,Conserjería,C/ Albert Einstein,"2, 3ª Planta",39011,,servicioconsumo@cantabria.es,942208265,,Mantener un contacto frecuente con asociaciones de consumidores,,,,
,,Dirección General de Turismo,PCTCAN,Dirección General de Turismo,,,,Turismo,Dirección General,C/ Albert Einstein,"2, 2ª Planta",39011,,dgturismo@cantabria.es,942207518,,"Diseñar, dirigir, ejecutar y controlar planes, programas de turismo",,,,
,,CANTUR,PCTCAN,CANTUR,,,,Recreativas,Turística,C/ Albert Einstein,4,39011,,lopd@cantur.com,942318950,A39008073,"Actividades de los jardines botánicos, parques zoológicos y reservas naturales.",,,,
,,Ambar Telecomunicaciones,PCTCAN,Ambar Telecomunicaciones,,,,Ingeniería,Telecomunicaciones,C/ Albert Einstein,8,39011,,ambartel@ambar.es,942344468,B39363387,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,,WSP – Apia,PCTCAN,WSP – Apia,,,,Ingeniería,Ingeniería,C/ Albert Einstein,6,39011,,info@wsp.com,942290260,A39074877,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,,TTI Norte,PCTCAN,TTI Norte,,,,Informática,Programación y consultoría informática,C/ Albert Einstein,14,39011,,gdpr@ttinorte.es,942291212,B39385083,Otras actividades de telecomunicaciones,,,,
,,Santander Teleport,PCTCAN,Santander Teleport,,,,Telecomunicaciones,Telecomunicaciones,C/ Albert Einstein,44,39011,,gdpr@santanderteleport.com,942016346,B39725999,Telecomunicaciones por satélite,,,,
,,Instituto de Biomedicina y Biotecnología de Cantabria,PCTCAN,Instituto de Biomedicina y Biotecnología de Cantabria,,,,Formación,Formación,C/ Albert Einstein,22,39011,,gerencia.ibbtec@csic.es,942203930,,Investigación científica de calidad en la biomedicina,,,,
,,Seidor,PCTCAN,Seidor,,,,Informática,Telecomunicaciones,C/ Albert Einstein,12 (Edificio Cesoin),39011,,info@seidor.com,911274100,A39042999,Compraventa de bienes inmobiliarios por cuenta propia,,,,
,,Innpulsa Consultores,PCTCAN,Innpulsa Consultores,,,,Informática,Programación y consultoría informática,C/ Albert Einstein,12,39011,,noelia@innpulsaconsultores.com,942947386,B39796602,"Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",,,,
,,Viavox Interactive,PCTCAN,Viavox Interactive,,,,Informática,Programación y consultoría informática,C/ Albert Einstein,12,39011,,atencionalcliente@viavox.com,942888375,B39698022,Actividades de programación informática,,,,
,,NNT Data,PCTCAN,NNT Data,,,,Informática,Telecomunicaciones,C/ Albert Einstein,Edificio Bisalia,39011,,infoweb@nttdata.com,942295800,B82387770,Actividades de consultoría informática,,,,
,,iTecan,PCTCAN,iTecan,,,,Informática,"Desarrollo de Software Empresarial, aplicaciones informáticas, telecomunicaciones, desarrollo web y marketing aplicado",C/ Albert Einstein,"12, Planta 1, oficina 12",39011,,info@itecan.es,942266358,B39740287,Actividades de consultoría informática,,,,
,,Atento,PCTCAN,Atento,,,,,Telecomunicaciones,C/ Albert Einstein,"18, Edificio Salía",39011,,dpo@atento.com,942266384,A78751997,Actividades de los centros de llamadas,,,,
,,Green Capital Power,PCTCAN,Green Capital Power,,,,Compañía eléctrica,Consultoría,C/ Albert Einstein,"18, Edificio Salía",39011,,jm.guasch@capitalenergy.com,699291567,B85945475,Producción de energía eléctrica de origen eólico,,,,
,,Control Voice Lab,PCTCAN,Control Voice Lab,,,,,Telecomunicaciones,C/ Albert Einstein,"18, Planta 1, 2 y 3",39011,,,942246000,,Centro de escucha activa y excelencia de clientes del Banco Santander,,,,
,,Software Isban de Cantabria,PCTCAN,Software Isban de Cantabria,,,,Informática,Programación y consultoría informática,C/ Albert Einstein,"18, Planta 3, (oficinas 1-7)",39011,,risban@isban.es,914704002,B83325076,Otros servicios relacionados con las tecnologías de la información y la informática,,,,
,,Cantra,PCTCAN,Cantra,,,,Fabricación electrodomésticos,Comercio al por mayor de aparatos electrodomésticos,C/ Albert Einstein,"18, Planta 4 (oficinas 4-9)",39011,,cantra@cantra.es,942318053,B39297569,Comercio al por mayor de aparatos electrodomésticos,,,,
,,Schenker Logistic,PCTCAN,Schenker Logistic,,,,Mensajería,Servicios logísticos integrales,C/ Albert Einstein,"18, Planta 4 (oficinas 4)",39011,,bilbao.spain@schenker.com,942352305,A08363541,Otras actividades anexas al transporte,,,,
,,Fundación Camino Lebaniego,PCTCAN,Fundación Camino Lebaniego,,,,Institucional,Turismo,C/ Albert Einstein,"18, Planta 4",39011,,info@caminolebaniego.com,942502700,G39869094,Promoción y difusión del camino lebaniego,,,,
,,Plenitude,PCTCAN,Plenitude,,,,Compañía eléctrica,Suministro de luz procedente de fuentes renovables en España,C/ Albert Einstein,20,39011,,rrhh@eniplenitude.es,902646022,B39793294,Comercio de energía eléctrica,,,,
,,Icomap,PCTCAN,Icomap,,,,Ingeniería,"Gestión, proyección y dirección técnica de todo tipo de obras",PCTCAN,"Edificio 3000, oficina 10",39011,,icomap@icomap.es,942376364,B39020938,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,,ITD Medioambiental,PCTCAN,ITD Medioambiental,,,,Consultoría medioambiental,Consultorías medioambientales,PCTCAN,"Edificio 3000, oficina 15",39011,,info@itdmedioambiente.es,666812676,B39789722,Búsqueda de soluciones y herramientas eficaces basadas en las nuevas tecnologías,,,,
,,CIC - Consulting informático de Cantabria,PCTCAN,CIC - Consulting informático de Cantabria,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres",3,39011,,soluciones@cic.es,902269017,B39361019,Otros servicios relacionados con las tecnologías de la información y la informática,,,,
,,Fundación Centro Tecnológico de Componentes,PCTCAN,Fundación Centro Tecnológico de Componentes,,,,Investigación,Tecnologías industriales,"PCTCAN, C/ Isabel Torres",Planta -1. Oficina 15,39011,,info@centrotecnologicoctc.com,942766976,G39492947,Otra Investigación Y Desarrollo Experimental En Ciencias Naturales Y Técnicas,,,,
,,Quiter Servicios Informáticos,PCTCAN,Quiter Servicios Informáticos,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres",5,39011,,verifactu@quiter.com,942328100,B39376033,Programación de ordenadores y software,,,,
,,Semicrol,PCTCAN,Semicrol,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres",7,39011,,semicrol@semicrol.com,942314224,B39024732,Actividades de consultoría informática,,,,
,,Sociedad Gestora del PCTCAN,PCTCAN,Sociedad Gestora del PCTCAN,,,,,Institucional,"PCTCAN, C/ Isabel Torres",1,39011,,pctcan@pctcan.es,942290003,B39592076,Compraventa de bienes inmobiliarios por cuenta propia,,,,
,,Sociedad para el Desarrollo de Cantabria,PCTCAN,Sociedad para el Desarrollo de Cantabria,,,,,Institucional,"PCTCAN, C/ Isabel Torres",1,39011,,lopdsodercan@gruposodercan.es,942290004,A39044557,Actividades generales de la Administración Pública,,,,
,,Suelo Industrial de Cantabria,PCTCAN,Suelo Industrial de Cantabria,,,,,Institucional,"PCTCAN, C/ Isabel Torres","1, 1ª Planta",39011,,,942290005,B39450986,Compraventa de bienes inmobiliarios por cuenta propia,,,,
,,Fundación Instituto Hidráulica Ambiental de Cantabria,PCTCAN,Fundación Instituto Hidráulica Ambiental de Cantabria,,,,Investigación,"Fundación (Organización de derecho privado del sector público autonómico y de naturaleza fundacional, sin ánimo de lucro, que nace con el propósito fundamental de fomentar y apoyar la investigación básica y aplicada y el desarrollo de estudios, metodologías y herramientas para la gestión integrada de los ecosistemas acuáticos incluyendo las aguas continentales superficiales y subterráneas, las aguas de transición y las aguas costeras)","PCTCAN, C/ Isabel Torres",15,39011,,info@ihcantabria.com,942202281,G39655170,Otra Investigación Y Desarrollo Experimental En Ciencias Naturales Y Técnicas,,,,
,,Viesgo,PCTCAN,Viesgo,,,,Compañía eléctrica,Otros,"PCTCAN, C/ Isabel Torres",3,39011,,distribucion_viesgo@viesgo.com,942246000,B85304558,Actividades de las sociedades holding,,,,
,,Universidad Europea del Atlántico,PCTCAN,Universidad Europea del Atlántico,,,,Formación,Formación,"PCTCAN, C/ Isabel Torres",21,39011,,info@uneatlantico.es,942244244,G39764972,Educación Universitaria,,,,
,,Citican,PCTCAN,Citican,,,,Investigación,Grupos de investigación privados,"PCTCAN, C/ Isabel Torres",21,39011,,info@citican.org,942948045,G39789920,Otra Investigación Y Desarrollo Experimental En Ciencias Naturales Y Técnicas,,,,
,,TST Sistemas,PCTCAN,TST Sistemas,,,,Ingeniería,Consultora tecnológica,"PCTCAN, C/ Isabel Torres",9,39011,,sales@tst-sistemas.es,942760540,A39669338,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,,Apte,PCTCAN,Apte,,,,Ingeniería,Telecomunicaciones,"PCTCAN, C/ Isabel Torres",9,39011,,sales@celestia-tech.com,942377020,B39726690,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,,ASYSOL,PCTCAN,ASYSOL,,,,Fabricación equipos electrónicos,Electrónica,"PCTCAN, C/ Isabel Torres",9,39011,,info-es@asysol.com,942050485,B85908424,Fabricación de equipos de telecomunicaciones,,,,
,,Centro de Innovación de Servicios Avanzados,PCTCAN,Centro de Innovación de Servicios Avanzados,,,,Informática,Telecomunicaciones,"PCTCAN, C/ Isabel Torres",19,39011,,cisga@cisga.es,942344468,B39740170,"Proceso de datos, hosting y actividades relacionadas",,,,
,,Atos,PCTCAN,Atos,,,,Informática,Telecomunicaciones,"PCTCAN, C/ Isabel Torres",19,39011,,cgt.santander@atos.net,942015475,B39742861,Otros servicios relacionados con las tecnologías de la información y la informática,,,,
,,Repsol,PCTCAN,Repsol,,,,Compañía eléctrica,"Suministro de energía eléctrica, gas, vapor y aire acondicionado","PCTCAN, C/ Isabel Torres",19,39011,,gestion.clientes@repsolluzygas.com,917538000,A62733126,Producción de energía eléctrica de otros tipos,,,,
,,EuroCastalia Comunicación,PCTCAN,EuroCastalia Comunicación,,,,Informática,Telecomunicaciones,"PCTCAN, C/ Isabel Torres",11º A 2º,39011,,info@eurocastalia.com,942241134,A39507256,Gestión de recursos informáticos,,,,
,,Ingeniería de Productividad y Sistemas Norte,PCTCAN,Ingeniería de Productividad y Sistemas Norte,,,,Informática,"Información, informática y telecomunicaciones.","PCTCAN, C/ Isabel Torres",11,39011,,ips-norte@ips-norte.com,942260015,B83204354,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,,Berten DSP,PCTCAN,Berten DSP,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres",11B,39011,,berten@bertendsp.com,942181011,B39807912,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,,Arcanos Intercom,PCTCAN,Arcanos Intercom,,,,Telecomunicaciones,Telecomunicaciones,"PCTCAN, C/ Isabel Torres",11A Local 2,39011,,arcanos@arcanos.es,942072801,B39629506,Telecomunicaciones inalámbricas,,,,
,,A.T. Medtra,PCTCAN,A.T. Medtra,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres",11,39011,,atmedtra@atmedtra.es,942235141,B39305156,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",,,,
,,Deduce Data Solutions,PCTCAN,Deduce Data Solutions,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres",13 Planta 2i,39011,,contacto@deducedatasolutions.com,657334483,B02761179,Actividades de programación informática,,,,
,,Gregorio Rodríguez,PCTCAN,Gregorio Rodríguez,,,,Ingeniería,"Ingeniería, asesoría y consultoría","PCTCAN, C/ Isabel Torres",11 Módulo 3,39011,,,,,Herramienta de Comunicaciones Unificadas con CRM y sofware de atención al cliente,,,,
,,Astroline,PCTCAN,Astroline,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres",11 Módulo 5,39011,,ventas@astroline.com,900287287,,"Desarrollo de Software Empresarial, aplicaciones informáticas, telecomunicaciones, desarrollo web y marketing aplicado",,,,
,,Ingeper,PCTCAN,Ingeper,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres","11, Oficina 9",39011,,ingeper@ingeper.com,942172925,B39837299,Evaluación de riesgos y daños,,,,
,,ZZIRCOM,PCTCAN,ZZIRCOM,,,,Informática,Telecomunicaciones,"PCTCAN, C/ Isabel Torres","11, Módulo 11",39011,,comercial@zzircon.com,609721021,B39827654,Otros servicios relacionados con las tecnologías de la información y la informática,,,,
,,Ecos Canarias,PCTCAN,Ecos Canarias,,,,Consultoría medioambiental,Consultorías medioambientales,"PCTCAN, C/ Isabel Torres",11A oficina 2,39011,,santander@ecosgroup.es,928426913,H35964337,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,,,,
,,Nubistalia,PCTCAN,Nubistalia,,,,Informática,Servicio tecnológico integral,"PCTCAN, C/ Isabel Torres","11, Módulo 17",39011,,info@nubistalia.com,680510478,H39755517,Otros servicios relacionados con las tecnologías de la información y la informática,,,,
,,TC Industrial,PCTCAN,TC Industrial,,,,Comercio equipos electrónicos,Distribuidor de procesos de automatización,"PCTCAN, C/ Isabel Torres","11, Módulo 20",39011,,tc@tcindustrial.com,942103321,A33632308,Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes,,,,
,,Sopra Group Informática,PCTCAN,Sopra Group Informática,,,,Informática,Programación y consultoría informática,"PCTCAN, C/ Isabel Torres","19, Planta 1 (Edificio Cisga)",39011,,info_es@soprasteria.com,942320100,U86459773,Gestión de recursos informáticos,,,,
,,Universidad Europea del Atlántico,PCTCAN,Universidad Europea del Atlántico,,,,Formación,Centro de investigación,"PCTCAN, C/ Isabel Torres",21,39011,,info@uneatlantico.es.,942244244,Q3918001C,Educación universitaria,,,,
